Timestamp,"How many hours do you usually sleep per night?
",Do you believe that your sleep affects your academic performance? ,How does your sleep schedule affect your academic performance (grades)?,"If you have not finished studying before an exam, what would you most likely do?
",How would you describe your overall academic performance?,What is the main reason for your lack of sleep?
4/5/2026 22:49,More than 8 hours,Yes,Moderate effect,Go to sleep and rest,Average,Stress Work / responsibilities
4/5/2026 22:49,,,Moderate effect,Stay awake and continue studying until the exam,Very Good,Studying
4/5/2026 22:50,More than 8 hours,Yes,Strong effect,Go to sleep and rest,Excellent,Other
4/5/2026 22:52,Less than 5 hours,Yes,Moderate effect,Go to sleep and rest,Average,"Studying, Social media / phone, Other"
4/5/2026 22:53,More than 8 hours,Yes,Moderate effect,Go to sleep and rest,Average,"Studying, Stress Work / responsibilities"
4/5/2026 22:54,5–6 hours,Yes,Slight effect,Stay awake and continue studying until the exam,Good,"Studying, Social media / phone"
4/5/2026 22:55,5–6 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Very Good,"Studying, Stress Work / responsibilities"
4/5/2026 22:55,5–6 hours,Yes,Strong effect,Go to sleep and rest,Good,Stress Work / responsibilities
4/5/2026 22:55,7–8 hours,No,Slight effect,Stay awake and continue studying until the exam,Excellent,Studying
4/5/2026 22:55,6–7 hours,Yes,Strong effect,Stay awake and continue studying until the exam,Average,"Studying, Social media / phone, Stress Work / responsibilities"
4/5/2026 22:56,5–6 hours,Yes,Moderate effect,Go to sleep and rest,Good,Stress Work / responsibilities
4/5/2026 22:56,7–8 hours,Yes,Moderate effect,Go to sleep and rest,Average,Social media / phone
4/5/2026 22:58,Less than 5 hours,Yes,No effect,Go to sleep and rest,Very Good,Other
4/5/2026 22:59,7–8 hours,Yes,Moderate effect,Go to sleep and rest,Good,Studying
4/5/2026 23:00,More than 8 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Very Good,Social media / phone
4/5/2026 23:00,More than 8 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Very Good,Stress Work / responsibilities
4/5/2026 23:01,7–8 hours,Yes,Moderate effect,Go to sleep and rest,Average,Social media / phone
4/5/2026 23:06,6–7 hours,No,No effect,Stay awake and continue studying until the exam,Very Good,"Studying, Stress Work / responsibilities"
4/5/2026 23:07,More than 8 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Poor,Social media / phone
4/5/2026 23:07,5–6 hours,Yes,Strong effect,Stay awake and continue studying until the exam,Excellent,Other
4/5/2026 23:08,7–8 hours,Yes,Moderate effect,Go to sleep and rest,Good,"Studying, Social media / phone, Stress Work / responsibilities"
4/5/2026 23:08,More than 8 hours,Yes,Strong effect,Go to sleep and rest,Very Good,Social media / phone
4/5/2026 23:11,6–7 hours,Yes,Moderate effect,Go to sleep and rest,Average,Other
4/5/2026 23:12,7–8 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Very Good,"Studying, Social media / phone"
4/5/2026 23:13,More than 8 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Good,"Studying, Stress Work / responsibilities, Other"
4/5/2026 23:14,5–6 hours,No,Slight effect,Go to sleep and rest,Good,Other
4/5/2026 23:15,More than 8 hours,Yes,Strong effect,Stay awake and continue studying until the exam,Good,Social media / phone
4/5/2026 23:15,7–8 hours,Yes,Slight effect,Go to sleep and rest,Excellent,Stress Work / responsibilities
4/5/2026 23:16,5–6 hours,No,Slight effect,Go to sleep and rest,Good,Social media / phone
4/5/2026 23:16,More than 8 hours,Yes,Slight effect,Stay awake and continue studying until the exam,Very Good,Studying
4/5/2026 23:17,7–8 hours,Yes,Slight effect,Go to sleep and rest,Average,Studying
4/5/2026 23:18,More than 8 hours,Yes,Moderate effect,Go to sleep and rest,Average,"Studying, Stress Work / responsibilities"
4/5/2026 23:18,7–8 hours,Yes,No effect,Go to sleep and rest,Good,Stress Work / responsibilities
4/5/2026 23:18,7–8 hours,No,Slight effect,Stay awake and continue studying until the exam,Average,Social media / phone
4/5/2026 23:18,5–6 hours,Yes,Slight effect,Stay awake and continue studying until the exam,Very Good,Other
4/5/2026 23:19,7–8 hours,No,Moderate effect,Go to sleep and rest,Average,Social media / phone
4/5/2026 23:19,More than 8 hours,Yes,Slight effect,Stay awake and continue studying until the exam,Average,"Studying, Stress Work / responsibilities"
4/5/2026 23:19,6–7 hours,Yes,Strong effect,Go to sleep and rest,Good,Stress Work / responsibilities
4/5/2026 23:19,Less than 5 hours,Yes,Slight effect,Go to sleep and rest,Good,"Social media / phone, Stress Work / responsibilities"
4/5/2026 23:20,7–8 hours,No,Moderate effect,Stay awake and continue studying until the exam,Poor,Social media / phone
4/5/2026 23:20,Less than 5 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Average,Studying
4/5/2026 23:21,More than 8 hours,No,Moderate effect,Stay awake and continue studying until the exam,Average,"Studying, Social media / phone, Stress Work / responsibilities, Other"
4/5/2026 23:21,6–7 hours,No,Moderate effect,Go to sleep and rest,Poor,"Social media / phone, Other"
4/5/2026 23:22,More than 8 hours,Yes,Strong effect,Go to sleep and rest,Good,"Studying, Social media / phone, Stress Work / responsibilities"
4/5/2026 23:22,More than 8 hours,Yes,Strong effect,Go to sleep and rest,Good,"Studying, Other"
4/5/2026 23:22,7–8 hours,Yes,Moderate effect,Go to sleep and rest,Very Good,"Studying, Social media / phone"
4/5/2026 23:22,,No,Strong effect,Go to sleep and rest,Average,"Studying, Stress Work / responsibilities"
4/5/2026 23:23,7–8 hours,No,No effect,Stay awake and continue studying until the exam,Very Good,"Social media / phone, Stress Work / responsibilities"
4/5/2026 23:23,5–6 hours,No,Slight effect,Go to sleep and rest,Very Good,Stress Work / responsibilities
4/5/2026 23:23,,No,Strong effect,Go to sleep and rest,Average,"Studying, Stress Work / responsibilities"
4/5/2026 23:23,More than 8 hours,No,Slight effect,Go to sleep and rest,Excellent,"Studying, Stress Work / responsibilities"
4/5/2026 23:23,6–7 hours,No,Moderate effect,Go to sleep and rest,Very Good,"Studying, Stress Work / responsibilities"
4/5/2026 23:24,More than 8 hours,,Slight effect,Go to sleep and rest,Good,Stress Work / responsibilities
4/5/2026 23:24,Less than 5 hours,Yes,Strong effect,Stay awake and continue studying until the exam,Very Good,"Studying, Social media / phone"
4/5/2026 23:24,6–7 hours,Yes,Slight effect,Stay awake and continue studying until the exam,Average,Social media / phone
4/5/2026 23:24,7–8 hours,No,Slight effect,Go to sleep and rest,Very Good,"Studying, Stress Work / responsibilities"
4/5/2026 23:24,7–8 hours,Yes,Slight effect,Go to sleep and rest,Average,"Studying, Stress Work / responsibilities"
4/5/2026 23:25,More than 8 hours,No,Moderate effect,Stay awake and continue studying until the exam,Good,Studying
4/5/2026 23:28,Less than 5 hours,Yes,Moderate effect,Stay awake and continue studying until the exam,Average,"Studying, Stress Work / responsibilities"
